|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|         0.7 |          1.0 |               5264 |                 448 |                     0.00352 |                      0.02803 |                     0.00031 |                      0.00133 |                     0.00008 |                      0.00041 |                     0.00002 |                      0.00014 |                     0.00000 |                      0.00004 |                              318.87668 |                               192.12631 |                               91.67056 |                                36.57119 |                               43.28010 |                                19.23131 |                               22.17434 |                                13.40024 |                                9.15802 |                                 9.14793 |                         5.64908 |                          3.57457 |                         8.08381 |                          6.62175 |                         9.44683 |                          7.79651 |                        10.80857 |                          8.86029 |                        12.58773 |                         10.14436 |                                    5.76480 |                                     5.25815 |                                    4.51820 |                                     3.59926 |                                    3.76769 |                                     2.95654 |                                    3.09894 |                                     2.59527 |                                    2.21463 |                                     2.21353 |
|         0.7 |          1.1 |               5275 |                 437 |                     0.00353 |                      0.02663 |                     0.00031 |                      0.00124 |                     0.00008 |                      0.00039 |                     0.00002 |                      0.00013 |                     0.00000 |                      0.00004 |                              320.42085 |                               196.78494 |                               91.64012 |                                33.48663 |                               43.44028 |                                17.63948 |                               22.33739 |                                12.28370 |                                9.21398 |                                 8.32409 |                         5.64570 |                          3.62582 |                         8.08018 |                          6.69304 |                         9.44288 |                          7.84167 |                        10.80392 |                          8.91505 |                        12.58342 |                         10.21169 |                                    5.76964 |                                     5.28211 |                                    4.51787 |                                     3.51115 |                                    3.77139 |                                     2.87014 |                                    3.10626 |                                     2.50827 |                                    2.22072 |                                     2.11915 |
|         0.8 |          0.5 |               4983 |                 729 |                     0.00381 |                      0.07328 |                     0.00033 |                      0.00366 |                     0.00008 |                      0.00102 |                     0.00002 |                      0.00028 |                     0.00000 |                      0.00006 |                              313.44106 |                               801.18257 |                               96.01132 |                               192.35381 |                               45.17713 |                                83.56243 |                               22.72315 |                                43.09150 |                                9.23278 |                                22.71358 |                         5.56973 |                          2.61345 |                         8.00939 |                          5.60979 |                         9.37364 |                          6.89096 |                        10.73574 |                          8.18335 |                        12.51833 |                          9.70791 |                                    5.74761 |                                     6.68609 |                                    4.56447 |                                     5.25934 |                                    3.81059 |                                     4.42559 |                                    3.12338 |                                     3.76333 |                                    2.22276 |                                     3.12296 |
|         0.8 |          0.6 |               5240 |                 472 |                     0.00349 |                      0.06190 |                     0.00031 |                      0.00312 |                     0.00008 |                      0.00092 |                     0.00002 |                      0.00027 |                     0.00000 |                      0.00006 |                              323.28428 |                               439.10147 |                               91.63238 |                                88.80875 |                               43.29752 |                                45.10913 |                               22.16673 |                                26.48225 |                                9.07398 |                                15.39538 |                         5.65759 |                          2.78230 |                         8.08790 |                          5.76885 |                         9.44835 |                          6.99282 |                        10.81191 |                          8.22880 |                        12.59094 |                          9.67000 |                                    5.77853 |                                     6.08473 |                                    4.51778 |                                     4.48649 |                                    3.76810 |                                     3.80908 |                                    3.09859 |                                     3.27647 |                                    2.20541 |                                     2.73407 |
|         0.8 |          0.7 |               5382 |                 330 |                     0.00338 |                      0.04604 |                     0.00030 |                      0.00213 |                     0.00008 |                      0.00070 |                     0.00002 |                      0.00022 |                     0.00000 |                      0.00006 |                              305.66458 |                               319.31493 |                               88.56577 |                                44.22340 |                               41.84784 |                                25.07842 |                               21.50117 |                                15.93509 |                                8.91609 |                                10.79396 |                         5.68976 |                          3.07830 |                         8.12631 |                          6.15005 |                         9.48754 |                          7.27113 |                        10.85081 |                          8.40433 |                        12.62917 |                          9.66222 |                                    5.72249 |                                     5.76618 |                                    4.48375 |                                     3.78925 |                                    3.73404 |                                     3.22201 |                                    3.06811 |                                     2.76852 |                                    2.18786 |                                     2.37899 |
|         0.8 |          0.8 |               5411 |                 301 |                     0.00340 |                      0.03735 |                     0.00029 |                      0.00182 |                     0.00008 |                      0.00060 |                     0.00002 |                      0.00021 |                     0.00000 |                      0.00006 |                              317.06886 |                               201.63568 |                               90.48095 |                                33.82417 |                               42.38470 |                                19.80359 |                               21.62237 |                                13.89392 |                                8.88024 |                                 9.57322 |                         5.68409 |                          3.28735 |                         8.12961 |                          6.31015 |                         9.49248 |                          7.41227 |                        10.85655 |                          8.45141 |                        12.63568 |                          9.68292 |                                    5.75912 |                                     5.30646 |                                    4.50514 |                                     3.52118 |                                    3.74679 |                                     2.98586 |                                    3.07373 |                                     2.63145 |                                    2.18383 |                                     2.25897 |
|         0.8 |          0.9 |               5456 |                 256 |                     0.00335 |                      0.03059 |                     0.00029 |                      0.00160 |                     0.00007 |                      0.00057 |                     0.00002 |                      0.00020 |                     0.00000 |                      0.00006 |                              310.45447 |                               124.73260 |                               90.14583 |                                24.48778 |                               41.96389 |                                15.04392 |                               21.37426 |                                10.69073 |                                8.80200 |                                 7.99749 |                         5.69733 |                          3.48709 |                         8.14687 |                          6.43771 |                         9.51005 |                          7.47309 |                        10.87392 |                          8.50704 |                        12.65332 |                          9.67999 |                                    5.73804 |                                     4.82617 |                                    4.50143 |                                     3.19817 |                                    3.73681 |                                     2.71097 |                                    3.06219 |                                     2.36938 |                                    2.17498 |                                     2.07913 |
|         0.8 |          1.0 |               5471 |                 241 |                     0.00331 |                      0.02884 |                     0.00029 |                      0.00144 |                     0.00007 |                      0.00053 |                     0.00002 |                      0.00020 |                     0.00000 |                      0.00006 |                              307.83546 |                               108.79434 |                               90.43042 |                                21.77718 |                               42.01283 |                                13.35486 |                               21.37034 |                                10.00381 |                                8.77135 |                                 7.42816 |                         5.70930 |                          3.54599 |                         8.15166 |                          6.54437 |                         9.51486 |                          7.54795 |                        10.87772 |                          8.52101 |                        12.65717 |                          9.70514 |                                    5.72957 |                                     4.68946 |                                    4.50458 |                                     3.08086 |                                    3.73798 |                                     2.59188 |                                    3.06200 |                                     2.30297 |                                    2.17149 |                                     2.00528 |
|         0.8 |          1.1 |               5482 |                 230 |                     0.00333 |                      0.02888 |                     0.00029 |                      0.00140 |                     0.00007 |                      0.00053 |                     0.00002 |                      0.00019 |                     0.00000 |                      0.00006 |                              309.70829 |                               104.53694 |                               90.87193 |                                19.98199 |                               42.16596 |                                13.02040 |                               21.48090 |                                 9.23984 |                                8.83265 |                                 6.65070 |                         5.70582 |                          3.54463 |                         8.14784 |                          6.57447 |                         9.51073 |                          7.53814 |                        10.87289 |                          8.57036 |                        12.65244 |                          9.77254 |                                    5.73563 |                                     4.64954 |                                    4.50945 |                                     2.99483 |                                    3.74161 |                                     2.56652 |                                    3.06716 |                                     2.22352 |                                    2.17846 |                                     1.89472 |
|         0.9 |          0.5 |               5078 |                 634 |                     0.00366 |                      0.08506 |                     0.00032 |                      0.00440 |                     0.00008 |                      0.00120 |                     0.00002 |                      0.00033 |                     0.00000 |                      0.00007 |                              321.42380 |                               853.81473 |                               93.96461 |                               186.02262 |                               44.19412 |                                83.39731 |                               22.50497 |                                43.10028 |                                9.15129 |                                23.45577 |                         5.61093 |                          2.46434 |                         8.05238 |                          5.42677 |                         9.41512 |                          6.72488 |                        10.77591 |                          8.00662 |                        12.55715 |                          9.52101 |                                    5.77276 |                                     6.74971 |                                    4.54292 |                                     5.22587 |                                    3.78859 |                                     4.42362 |                                    3.11374 |                                     3.76353 |                                    2.21389 |                                     3.15512 |
