|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|         0.7 |          0.8 |               5199 |                 513 |                     0.00358 |                      0.03449 |                     0.00031 |                      0.00162 |                     0.00008 |                      0.00055 |                     0.00002 |                      0.00018 |                     0.00000 |                      0.00005 |                              336.31105 |                               273.09280 |                               92.15191 |                                51.60615 |                               44.64301 |                                30.37195 |                               22.70132 |                                19.14718 |                                9.49877 |                                12.06290 |                         5.63363 |                          3.36698 |                         8.07303 |                          6.42390 |                         9.41577 |                          7.50755 |                        10.78706 |                          8.64829 |                        12.54300 |                         10.00333 |                                    5.81804 |                                     5.60981 |                                    4.52344 |                                     3.94364 |                                    3.79870 |                                     3.41352 |                                    3.12242 |                                     2.95216 |                                    2.25116 |                                     2.49013 |
|         0.7 |          0.9 |               5241 |                 471 |                     0.00351 |                      0.02981 |                     0.00031 |                      0.00150 |                     0.00008 |                      0.00054 |                     0.00002 |                      0.00017 |                     0.00000 |                      0.00004 |                              323.42398 |                               211.54230 |                               91.37030 |                                42.42818 |                               44.00950 |                                26.25012 |                               22.33804 |                                16.82121 |                                9.37030 |                                10.52155 |                         5.65078 |                          3.51307 |                         8.09036 |                          6.49958 |                         9.43203 |                          7.52895 |                        10.80383 |                          8.67892 |                        12.55876 |                         10.04950 |                                    5.77896 |                                     5.35442 |                                    4.51492 |                                     3.74781 |                                    3.78441 |                                     3.26767 |                                    3.10629 |                                     2.82264 |                                    2.23754 |                                     2.35343 |
|         0.7 |          1.0 |               5256 |                 456 |                     0.00347 |                      0.02927 |                     0.00031 |                      0.00155 |                     0.00008 |                      0.00054 |                     0.00002 |                      0.00018 |                     0.00000 |                      0.00004 |                              316.52201 |                               194.84039 |                               90.87438 |                                42.68548 |                               43.80473 |                                25.65568 |                               22.19262 |                                16.81356 |                                9.37688 |                                10.20762 |                         5.66347 |                          3.53118 |                         8.09513 |                          6.46887 |                         9.43622 |                          7.51851 |                        10.80856 |                          8.64905 |                        12.56355 |                         10.05129 |                                    5.75739 |                                     5.27218 |                                    4.50948 |                                     3.75386 |                                    3.77974 |                                     3.24477 |                                    3.09976 |                                     2.82219 |                                    2.23825 |                                     2.32313 |
|         0.7 |          1.1 |               5267 |                 445 |                     0.00348 |                      0.02765 |                     0.00031 |                      0.00140 |                     0.00008 |                      0.00051 |                     0.00002 |                      0.00016 |                     0.00000 |                      0.00004 |                              314.32481 |                               188.54281 |                               90.65958 |                                38.10656 |                               43.97941 |                                23.30658 |                               22.30662 |                                15.23365 |                                9.42773 |                                 9.79967 |                         5.66070 |                          3.58820 |                         8.09143 |                          6.56802 |                         9.43236 |                          7.59070 |                        10.80399 |                          8.72258 |                        12.55954 |                         10.06863 |                                    5.75043 |                                     5.23933 |                                    4.50711 |                                     3.64039 |                                    3.78372 |                                     3.14874 |                                    3.10488 |                                     2.72351 |                                    2.24366 |                                     2.28235 |
|         0.7 |        inf   |               5280 |                 432 |                     0.00349 |                      0.02417 |                     0.00031 |                      0.00126 |                     0.00008 |                      0.00045 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00004 |                              322.97082 |                               187.04688 |                               91.21839 |                                34.51792 |                               44.21989 |                                20.50713 |                               22.49420 |                                13.62027 |                                9.50095 |                                 8.98059 |                         5.65816 |                          3.72251 |                         8.08457 |                          6.67548 |                         9.42590 |                          7.69739 |                        10.79778 |                          8.81522 |                        12.55412 |                         10.12527 |                                    5.77756 |                                     5.23136 |                                    4.51326 |                                     3.54148 |                                    3.78917 |                                     3.02077 |                                    3.11326 |                                     2.61156 |                                    2.25139 |                                     2.19507 |
|         0.8 |          0.5 |               4971 |                 741 |                     0.00372 |                      0.07577 |                     0.00033 |                      0.00380 |                     0.00009 |                      0.00099 |                     0.00002 |                      0.00028 |                     0.00000 |                      0.00006 |                              311.00102 |                               814.96965 |                               94.19879 |                               197.49248 |                               45.33290 |                                83.24257 |                               22.61459 |                                43.91389 |                                9.44965 |                                21.94423 |                         5.59376 |                          2.57999 |                         8.02791 |                          5.57315 |                         9.36732 |                          6.91499 |                        10.73804 |                          8.18386 |                        12.49351 |                          9.75282 |                                    5.73980 |                                     6.70315 |                                    4.54541 |                                     5.28570 |                                    3.81403 |                                     4.42176 |                                    3.11860 |                                     3.78223 |                                    2.24598 |                                     3.08850 |
|         0.8 |          0.6 |               5231 |                 481 |                     0.00343 |                      0.06558 |                     0.00030 |                      0.00317 |                     0.00008 |                      0.00089 |                     0.00002 |                      0.00027 |                     0.00000 |                      0.00006 |                              323.90713 |                               505.89254 |                               90.57688 |                                93.52610 |                               43.66601 |                                44.84786 |                               22.25055 |                                27.16119 |                                9.36053 |                                15.84268 |                         5.67611 |                          2.72454 |                         8.09676 |                          5.75528 |                         9.43944 |                          7.02799 |                        10.80794 |                          8.22352 |                        12.55949 |                          9.65689 |                                    5.78046 |                                     6.22632 |                                    4.50620 |                                     4.53824 |                                    3.77657 |                                     3.80328 |                                    3.10237 |                                     3.30179 |                                    2.23650 |                                     2.76271 |
|         0.8 |          0.7 |               5372 |                 340 |                     0.00331 |                      0.05044 |                     0.00029 |                      0.00229 |                     0.00008 |                      0.00074 |                     0.00002 |                      0.00025 |                     0.00000 |                      0.00007 |                              298.34919 |                               347.12767 |                               87.60621 |                                47.40489 |                               42.20591 |                                26.57194 |                               21.48624 |                                17.98603 |                                9.14559 |                                11.70416 |                         5.71044 |                          2.98700 |                         8.13679 |                          6.08090 |                         9.47954 |                          7.21150 |                        10.84768 |                          8.29349 |                        12.60195 |                          9.59639 |                                    5.69826 |                                     5.84969 |                                    4.47285 |                                     3.85873 |                                    3.74256 |                                     3.27986 |                                    3.06741 |                                     2.88960 |                                    2.21327 |                                     2.45994 |
|         0.8 |          0.8 |               5401 |                 311 |                     0.00334 |                      0.04292 |                     0.00029 |                      0.00199 |                     0.00008 |                      0.00067 |                     0.00002 |                      0.00024 |                     0.00000 |                      0.00007 |                              301.88078 |                               254.88727 |                               88.52676 |                                38.92376 |                               42.54309 |                                22.89461 |                               21.63598 |                                15.95302 |                                9.11278 |                                10.85418 |                         5.70322 |                          3.14839 |                         8.14500 |                          6.22112 |                         9.48779 |                          7.30197 |                        10.85562 |                          8.34206 |                        12.61033 |                          9.59051 |                                    5.71003 |                                     5.54082 |                                    4.48330 |                                     3.66160 |                                    3.75052 |                                     3.13090 |                                    3.07436 |                                     2.76965 |                                    2.20968 |                                     2.38455 |
|         0.8 |          0.9 |               5444 |                 268 |                     0.00327 |                      0.03506 |                     0.00029 |                      0.00176 |                     0.00007 |                      0.00063 |                     0.00002 |                      0.00023 |                     0.00000 |                      0.00007 |                              302.55154 |                               154.71025 |                               88.32489 |                                28.25677 |                               42.06601 |                                17.44002 |                               21.36637 |                                12.54691 |                                9.02563 |                                 8.74878 |                         5.72161 |                          3.35060 |                         8.16288 |                          6.34011 |                         9.50463 |                          7.36230 |                        10.87288 |                          8.39660 |                        12.62642 |                          9.64057 |                                    5.71225 |                                     5.04155 |                                    4.48102 |                                     3.34133 |                                    3.73924 |                                     2.85877 |                                    3.06182 |                                     2.52947 |                                    2.20007 |                                     2.16891 |
